Date,Close/Last,Volume,Open,High,Low
08/30/2019,$226.84,510321,$226.31,$226.94,$224.01
08/29/2019,$225.26,534354,$227.47,$228.81,$224.98
08/28/2019,$225.85,754899,$221.81,$226.9,$221.81
08/27/2019,$222.45,1134721,$227.99,$228.44,$220.9
08/26/2019,$227.69,614578,$227.79,$228.94,$224.87
08/23/2019,$226.15,745952,$231.32,$233.42,$225.51
08/22/2019,$231.85,635451,$231.15,$231.98,$226.58
08/21/2019,$231.52,701772,$233.08,$234.1445,$228.89
08/20/2019,$232.43,1086306,$231.96,$233.355,$225.06
08/19/2019,$232.02,676250,$236.07,$236.66,$229.71
08/16/2019,$234.95,688440,$234.57,$235.97,$231.47
08/15/2019,$232.89,899982,$236.26,$238.82,$232.02
08/14/2019,$236.2,702915,$239.16,$239.16,$235.34
08/13/2019,$240.6,613243,$240.29,$243.98,$238.11
08/12/2019,$240.01,803848,$247.19,$248.75,$239.48
08/09/2019,$247.83,587055,$246.19,$250.98,$243.54
08/08/2019,$246.75,703328,$246.25,$248.85,$244.985
08/07/2019,$245.74,690834,$241.72,$246.205,$240.5
08/06/2019,$242.51,589765,$241.21,$244.26,$240.0001
08/05/2019,$239.72,990914,$240.53,$242.33,$236.17
08/02/2019,$244.75,537712,$245.41,$247.69,$244.39
08/01/2019,$245.83,760562,$246.12,$249.9,$243.2
07/31/2019,$244.53,920852,$247.07,$248.68,$242.48
07/30/2019,$247.55,1084086,$251.52,$252.39,$245.75
07/29/2019,$252.48,1172641,$254.16,$255.849,$249.645
07/26/2019,$259.06,567677,$261.88,$262.87,$258.13
07/25/2019,$260.67,801816,$262.63,$264.64,$258.5835
07/24/2019,$262.21,921341,$259.43,$263.5,$258.4
07/23/2019,$257.71,923623,$257.06,$257.8,$254.935
07/22/2019,$255.4,1231406,$258.11,$258.485,$254.145
07/19/2019,$257.93,1677565,$252.8,$259.09,$252.8
07/18/2019,$252.68,1623083,$252.23,$254.15,$249.45
07/17/2019,$253.01,3286675,$245.5,$253.5,$244.6575
07/16/2019,$246.54,6194181,$254.3,$263.57,$245.95
07/15/2019,$269.92,1668425,$283.44,$283.44,$268.42
07/12/2019,$282.11,571466,$278.62,$284.33,$278.61
07/11/2019,$277.64,600133,$276.96,$279.4,$274.64
07/10/2019,$275.35,746557,$277.6,$281.42,$274.6304
07/09/2019,$280,491275,$276.42,$280.89,$276.42
07/08/2019,$277.21,507097,$277.2,$278.9,$273.025
07/05/2019,$278.26,324315,$279.21,$281.5,$277.64
07/03/2019,$280.96,336046,$274.34,$282.1,$274.34
07/02/2019,$273.81,399023,$271.1,$276.58,$271
07/01/2019,$271.1,631671,$279.58,$281.99,$270.42
06/28/2019,$278.28,568173,$278.11,$279.77,$275.27
06/27/2019,$277.94,380758,$275.57,$279.34,$274.1
06/26/2019,$275.87,691610,$277.43,$278.175,$271.38
06/25/2019,$277.14,720910,$276.2,$277.84,$273.41
06/24/2019,$274.37,422677,$280.77,$280.77,$272.28
06/21/2019,$280.33,443425,$280.43,$281.28,$277.89
06/20/2019,$281.82,646418,$280.14,$282.24,$274.56
06/19/2019,$280.68,328297,$281.61,$282.61,$277.82
06/18/2019,$282.35,529542,$282.5,$285.37,$280.04
06/17/2019,$282,767735,$281.19,$286.37,$280.65
06/14/2019,$280.65,592411,$281.57,$284,$280.63
06/13/2019,$281.29,578588,$283.37,$285.145,$278.93
06/12/2019,$282,649686,$279.81,$285.68,$279.2
06/11/2019,$280.13,521332,$284.05,$286.28,$279.22
06/10/2019,$282.64,541269,$289.26,$289.26,$279.68
06/07/2019,$287,411702,$287.47,$290.6,$285.01
06/06/2019,$287,386656,$285.76,$289.37,$285.71
06/05/2019,$285.34,401983,$285.1,$289.585,$283.93
06/04/2019,$284,470527,$278.59,$284.14,$278.16
06/03/2019,$276.49,692984,$279.7,$282.37,$273.9501
05/31/2019,$279.5,520257,$274.28,$280.41,$273.53
05/30/2019,$277.28,518727,$277.75,$279.015,$272.5
05/29/2019,$277.73,432157,$278.88,$279.8,$275.38
05/28/2019,$280.73,473723,$283.16,$286.92,$278.88
05/24/2019,$282.61,320229,$286.74,$286.94,$281.96
05/23/2019,$285.31,417293,$282.26,$285.73,$281.05
05/22/2019,$284.43,282117,$285,$287.43,$283.18
05/21/2019,$284.97,582488,$287.67,$291.4,$283.12
05/20/2019,$284.86,661634,$279.11,$287.15,$278.77
05/17/2019,$281.25,500093,$276.63,$282.36,$275.14
05/16/2019,$277.84,449910,$278.2,$281.22,$275.67
05/15/2019,$276.67,335254,$272,$278,$270.26
05/14/2019,$272.86,449203,$273.62,$275.49,$271.08
05/13/2019,$273.88,750629,$273.3,$274.12,$264.9905
05/10/2019,$278.37,710997,$281.05,$284.44,$275.08
05/09/2019,$282.16,621831,$280.56,$283.5,$278.28
05/08/2019,$283.15,527134,$276.1,$283.91,$275.325
05/07/2019,$277.39,573751,$279.46,$281.54,$275.37
05/06/2019,$282.02,576332,$274.51,$283.87,$274.46
05/03/2019,$279.75,761012,$276.56,$280.43,$274.3
05/02/2019,$274.32,557646,$270.78,$274.47,$270.6
05/01/2019,$271.46,429521,$271,$274.66,$270.11
04/30/2019,$270.58,717540,$269.51,$273.235,$268.75
04/29/2019,$268.87,822997,$273.43,$273.79,$265.34
04/26/2019,$273.43,606604,$276.45,$279.39,$272.73
04/25/2019,$276.45,1348408,$282.28,$282.4625,$271.61
04/24/2019,$283.42,3792073,$287,$302.045,$281.12
04/23/2019,$270.2,1743201,$267,$271.635,$266.62
04/22/2019,$266,1747697,$267.81,$268.67,$265.295
04/18/2019,$267.61,968604,$266.63,$270.85,$266.08
04/17/2019,$265.25,1590566,$263,$267.92,$261.53
04/16/2019,$255.34,861490,$259.87,$261.74,$252.78
04/15/2019,$258.9,695386,$256.25,$259.47,$251.12
04/12/2019,$257.61,838817,$256.69,$259.94,$253.66
04/11/2019,$255.55,1137460,$250.33,$257.99,$250.29
04/10/2019,$248.94,787936,$249,$249.54,$246.5
04/09/2019,$247.83,846663,$246.56,$249.17,$246.3
04/08/2019,$247.5,813235,$253.67,$254.4475,$246.7
04/05/2019,$254.56,884124,$249.83,$254.58,$248.01
04/04/2019,$248.94,769661,$254.12,$254.365,$246.245
04/03/2019,$253.11,1004898,$247.96,$253.8,$244.74
04/02/2019,$245.22,1076788,$250,$250.71,$244.93
04/01/2019,$249.45,1333500,$258.71,$259.26,$249.44
03/29/2019,$258.1,1111756,$255,$260.51,$254.17
03/28/2019,$253.92,904881,$247.35,$254.16,$244.95
03/27/2019,$247.58,566409,$244.81,$249.48,$244.81
03/26/2019,$245.4,682279,$244.38,$245.72,$242.915
03/25/2019,$242.56,685697,$239.52,$244.3,$239.305
03/22/2019,$239.25,841789,$243.4,$245,$239.17
03/21/2019,$245.05,691060,$244.03,$247.71,$244.03
03/20/2019,$243.94,637444,$248.61,$248.63,$241.93
03/19/2019,$248.76,1328973,$249.5,$250.8552,$244.915
03/18/2019,$243.41,1043410,$244.8,$247.99,$240.57
03/15/2019,$244.27,1038089,$247.86,$248.01,$243.21
03/14/2019,$247.25,692608,$245.5,$248.08,$242.4
03/13/2019,$245.37,918793,$241.98,$248.09,$240.37
03/12/2019,$240,1264040,$247.44,$247.56,$239.94
03/11/2019,$246.99,879437,$250.82,$251.14,$245.255
03/08/2019,$250.52,744839,$245.96,$250.61,$245.24
03/07/2019,$247.94,454731,$248.89,$249.04,$245.57
03/06/2019,$248.6,538412,$249.67,$251.15,$247.43
03/05/2019,$249.33,577321,$249.91,$252.65,$247.55
03/04/2019,$248.57,776269,$250.77,$252.5,$245.009
03/01/2019,$250.73,781249,$253.12,$253.7,$245.87
02/28/2019,$250.94,1047140,$251.87,$252.715,$247.96
02/27/2019,$252.51,568190,$251.48,$255.13,$251.18
02/26/2019,$252.81,997543,$255.96,$257.9,$252.03
02/25/2019,$255.94,1231650,$261.87,$262.31,$253.58
02/22/2019,$260.71,1784864,$252.2,$262.9,$252.2
02/21/2019,$253.01,3872957,$261.48,$262.4,$250.02
02/20/2019,$278.49,1054638,$279.69,$280.48,$276.33
02/19/2019,$279.23,930362,$280.09,$281.64,$275.7
